datetime,image,algo,K,thresholds,time_sec,FE,fitness,PSNR,SSIM,noise_type,noise_amt_percent
2025-10-25 17:09:48,lena.bmp,Otsu,6,60;78;95;118;144;172,0.044792,1.189913,-1.189913,26.741737,0.782895,none,0.00
2025-10-25 17:09:48,lena.bmp,FCM,6,53;79;102;124;149;176,0.002993,1.196646,-1.196646,27.079301,0.783598,none,0.00
2025-10-25 17:09:48,lena.bmp,PSO,6,37;66;111;112;171;172,0.683545,1.308372,-1.308372,23.854982,0.647118,none,0.00
2025-10-25 17:09:48,lena.bmp,GA,6,37;68;113;114;175;184,0.752774,1.297815,-1.297815,24.320265,0.646648,none,0.00
2025-10-25 17:09:49,lena.bmp,WOA,6,38;48;70;99;115;136,0.712115,1.303012,-1.303012,23.309745,0.728769,none,0.00
2025-10-25 17:09:49,lena.bmp,MFWOA,6,37;67;101;114;123;177,0.665075,1.323666,-1.323666,25.821795,0.705921,none,0.00
2025-10-25 17:10:00,lena.bmp,Otsu,5,60;95;118;144;172,0.034611,1.099979,-1.099979,26.233279,0.752948,none,0.00
2025-10-25 17:10:00,lena.bmp,FCM,5,53;81;105;129;162,0.004834,1.135445,-1.135445,25.697428,0.767608,none,0.00
2025-10-25 17:10:00,lena.bmp,PSO,5,35;68;112;113;171,0.656836,1.244128,-1.244128,24.037363,0.651187,none,0.00
2025-10-25 17:10:00,lena.bmp,GA,5,37;68;111;114;174,0.723914,1.242780,-1.242780,24.160654,0.651676,none,0.00
2025-10-25 17:10:00,lena.bmp,WOA,5,37;68;105;114;175,0.692625,1.236105,-1.236105,24.485277,0.667944,none,0.00
2025-10-25 17:10:00,lena.bmp,MFWOA,5,37;38;68;114;127,0.673952,1.235152,-1.235152,21.320013,0.640546,none,0.00
2025-10-25 17:10:05,lena.bmp,Otsu,4,60;95;118;144,0.026118,1.016319,-1.016319,24.151289,0.730506,none,0.00
2025-10-25 17:10:05,lena.bmp,FCM,4,57;91;121;157,0.002652,1.016252,-1.016252,24.877437,0.734647,none,0.00
2025-10-25 17:10:05,lena.bmp,PSO,4,35;108;109;176,0.572066,1.106187,-1.106187,20.944511,0.565469,none,0.00
2025-10-25 17:10:05,lena.bmp,GA,4,36;108;109;174,0.699939,1.105882,-1.105882,21.135137,0.565361,none,0.00
2025-10-25 17:10:06,lena.bmp,WOA,4,37;68;115;116,0.672686,1.134789,-1.134789,19.017617,0.591804,none,0.00
2025-10-25 17:10:06,lena.bmp,MFWOA,4,38;67;114;119,0.626341,1.126128,-1.126128,19.734252,0.612617,none,0.00
2025-10-25 17:11:02,lena.bmp,Otsu,3,60;95;144,0.015467,0.867894,-0.867894,23.356989,0.707923,none,0.00
2025-10-25 17:11:02,lena.bmp,FCM,3,63;102;147,0.002873,0.869206,-0.869206,23.722509,0.706038,none,0.00
2025-10-25 17:11:02,lena.bmp,PSO,3,109;110;175,0.532081,0.991244,-0.991244,19.829491,0.581992,none,0.00
2025-10-25 17:11:02,lena.bmp,GA,3,109;110;175,0.641100,0.991244,-0.991244,19.829491,0.581992,none,0.00
2025-10-25 17:11:02,lena.bmp,WOA,3,35;111;112,0.584612,0.985107,-0.985107,17.202194,0.516476,none,0.00
2025-10-25 17:11:02,lena.bmp,MFWOA,3,35;111;112,0.546356,0.985107,-0.985107,17.202194,0.516476,none,0.00
2025-10-25 17:15:08,lena.bmp,Otsu,6,60;78;95;118;144;172,0.048985,1.189913,-1.189913,26.741737,0.782895,none,0.00
2025-10-25 17:15:08,lena.bmp,FCM,6,53;79;102;124;149;176,0.003191,1.196646,-1.196646,27.079301,0.783598,none,0.00
2025-10-25 17:15:08,lena.bmp,PSO,6,37;66;111;112;171;172,0.768410,1.308372,-1.308372,23.854982,0.647118,none,0.00
2025-10-25 17:15:08,lena.bmp,GA,6,37;68;115;116;172;173,0.774018,1.302875,-1.302875,24.168251,0.645317,none,0.00
2025-10-25 17:15:08,lena.bmp,WOA,6,37;68;97;114;132;173,0.704913,1.323664,-1.323664,26.580887,0.727988,none,0.00
2025-10-25 17:15:08,lena.bmp,MFWOA,6,37;67;101;114;123;177,0.666167,1.323666,-1.323666,25.821795,0.705921,none,0.00
