datetime,image,algo,K,thresholds,time_sec,FE,fitness,PSNR,SSIM,noise_type,noise_amt_percent
2025-10-26 12:25:34,lena.bmp,MFWOA_K2,2,110;116,0.653329,0.856701,-0.856701,17.323410,0.548639,none,0.00
2025-10-26 12:25:34,lena.bmp,MFWOA_K3,3,111;112;169,0.653329,0.988155,-0.988155,19.810463,0.580014,none,0.00
2025-10-26 12:25:34,lena.bmp,MFWOA_K4,4,38;66;114;118,0.653329,1.126188,-1.126188,19.574276,0.609350,none,0.00
2025-10-26 12:25:34,lena.bmp,MFWOA_K5,5,37;70;91;118;119,0.653329,1.228437,-1.228437,20.008901,0.635208,none,0.00
2025-10-26 12:25:34,lena.bmp,MFWOA_K6,6,39;72;93;115;116;172,0.653329,1.331897,-1.331897,25.015762,0.693823,none,0.00
2025-10-26 12:32:10,lena.bmp,Otsu,3,60;95;144,0.016231,0.867894,-0.867894,23.356989,0.707923,none,0.00
2025-10-26 12:32:10,lena.bmp,FCM,3,63;102;147,0.002689,0.869206,-0.869206,23.722509,0.706038,none,0.00
2025-10-26 12:32:11,lena.bmp,PSO,3,35;111;112,0.619972,0.985107,-0.985107,17.202194,0.516476,none,0.00
2025-10-26 12:32:11,lena.bmp,GA,3,36;113;120,0.667219,0.967979,-0.967979,18.422073,0.524398,none,0.00
2025-10-26 12:32:11,lena.bmp,WOA,3,109;110;175,0.547084,0.991244,-0.991244,19.829491,0.581992,none,0.00
2025-10-26 12:32:11,lena.bmp,MFWOA,3,35;111;112,0.560986,0.985107,-0.985107,17.202194,0.516476,none,0.00
2025-10-26 12:32:24,lena.bmp,MFWOA_K2,2,110;116,0.829725,0.856701,-0.856701,17.323410,0.548639,none,0.00
2025-10-26 12:32:24,lena.bmp,MFWOA_K3,3,111;112;169,0.829725,0.988155,-0.988155,19.810463,0.580014,none,0.00
2025-10-26 12:32:24,lena.bmp,MFWOA_K4,4,38;66;114;118,0.829725,1.126188,-1.126188,19.574276,0.609350,none,0.00
2025-10-26 12:32:24,lena.bmp,MFWOA_K5,5,37;70;91;118;119,0.829725,1.228437,-1.228437,20.008901,0.635208,none,0.00
2025-10-26 12:32:24,lena.bmp,MFWOA_K6,6,39;72;93;115;116;172,0.829725,1.331897,-1.331897,25.015762,0.693823,none,0.00
