datetime,image,algo,K,thresholds,time_sec,FE,fitness,PSNR,SSIM,noise_type,noise_amt_percent
2025-10-28 12:51:40,lena.bmp,MFWOA_K2,2,112;113,2.304557,0.874193,-0.874193,16.761640,0.519253,gaussian,1.20
2025-10-28 12:51:40,lena.bmp,MFWOA_K3,3,108;109;176,2.304557,0.991825,-0.991825,19.798096,0.555948,gaussian,1.20
2025-10-28 12:51:40,lena.bmp,Otsu_K2,2,94;143,0.009249,0.761828,-0.761828,21.296216,0.618418,gaussian,1.20
2025-10-28 12:51:40,lena.bmp,Otsu_K3,3,59;94;143,0.017498,0.874015,-0.874015,23.312026,0.683338,gaussian,1.20
2025-10-28 12:51:40,lena.bmp,FCM_K2,2,77;136,0.001715,0.719345,-0.719345,21.344917,0.638395,gaussian,1.20
2025-10-28 12:51:40,lena.bmp,FCM_K3,3,63;102;147,0.002158,0.876549,-0.876549,23.591016,0.673899,gaussian,1.20
2025-10-28 12:51:41,lena.bmp,PSO_K2,2,112;113,1.951429,0.874193,-0.874193,16.761640,0.519253,gaussian,1.20
2025-10-28 12:51:41,lena.bmp,PSO_K3,3,108;109;176,2.188516,0.991825,-0.991825,19.798096,0.555948,gaussian,1.20
2025-10-28 12:51:41,lena.bmp,GA_K2,2,112;113,2.401707,0.874193,-0.874193,16.761640,0.519253,gaussian,1.20
2025-10-28 12:51:41,lena.bmp,GA_K3,3,108;109;176,2.664954,0.991825,-0.991825,19.798096,0.555948,gaussian,1.20
2025-10-28 12:51:41,lena.bmp,WOA_K2,2,112;113,2.214195,0.874193,-0.874193,16.761640,0.519253,gaussian,1.20
2025-10-28 12:51:41,lena.bmp,WOA_K3,3,35;110;111,2.453546,0.981937,-0.981937,17.253842,0.481499,gaussian,1.20
2025-10-28 12:58:14,lena.bmp,Otsu,2,94;143,0.009800,0.761760,-0.761760,21.299535,0.618396,gaussian,1.20
2025-10-28 12:58:14,lena.bmp,FCM,2,77;136,0.001796,0.719135,-0.719135,21.338517,0.637644,gaussian,1.20
2025-10-28 12:58:14,lena.bmp,PSO,2,112;113,2.072956,0.874299,-0.874299,16.759463,0.520287,gaussian,1.20
2025-10-28 12:58:14,lena.bmp,GA,2,112;113,2.462607,0.874299,-0.874299,16.759463,0.520287,gaussian,1.20
2025-10-28 12:58:14,lena.bmp,WOA,2,112;113,2.267104,0.874299,-0.874299,16.759463,0.520287,gaussian,1.20
2025-10-28 12:58:14,lena.bmp,MFWOA,2,112;113,2.043653,0.874299,-0.874299,16.759463,0.520287,gaussian,1.20
2025-10-28 12:58:48,lena.bmp,Otsu,6,59;77;94;117;143;171,0.043408,1.197913,-1.197913,26.538937,0.743201,gaussian,1.20
2025-10-28 12:58:48,lena.bmp,FCM,6,52;78;101;122;147;175,0.003264,1.210868,-1.210868,26.875655,0.744646,gaussian,1.20
2025-10-28 12:58:48,lena.bmp,PSO,6,38;65;108;109;136;171,3.114012,1.316533,-1.316533,25.377296,0.642887,gaussian,1.20
2025-10-28 12:58:48,lena.bmp,GA,6,38;65;110;111;170;171,3.596572,1.299542,-1.299542,23.805626,0.608323,gaussian,1.20
2025-10-28 12:58:48,lena.bmp,WOA,6,37;68;95;112;127;174,3.401286,1.315268,-1.315268,26.130288,0.670526,gaussian,1.20
2025-10-28 12:58:48,lena.bmp,MFWOA,6,37;66;99;112;121;176,3.148231,1.314812,-1.314812,25.374867,0.649326,gaussian,1.20
