datetime,image,algo,K,thresholds,time_sec,FE,fitness,PSNR,SSIM,noise_type,noise_amt_percent
2025-10-26 18:19:39,lena.gray.bmp,Otsu,8,44;60;78;95;107;118;144;172,0.071045,1.416275,-1.416275,27.225206,0.815910,none,0.00
2025-10-26 18:19:39,lena.gray.bmp,FCM,8,45;63;83;100;115;131;153;178,0.009340,1.395337,-1.395337,27.956677,0.820644,none,0.00
2025-10-26 18:19:39,lena.gray.bmp,PSO,8,37;66;109;110;135;166;167;184,1.034117,1.394063,-1.394063,26.648834,0.704287,none,0.00
2025-10-26 18:19:39,lena.gray.bmp,GA,8,37;70;93;118;119;176;177;226,1.161020,1.374591,-1.374591,26.053796,0.693145,none,0.00
2025-10-26 18:19:39,lena.gray.bmp,WOA,8,37;38;70;81;102;115;134;173,1.100061,1.511919,-1.511919,26.949303,0.756946,none,0.00
2025-10-26 18:19:39,lena.gray.bmp,MFWOA,8,37;38;69;102;103;114;121;176,1.047170,1.508123,-1.508123,25.620539,0.709416,none,0.00
2025-10-26 18:22:23,lena.gray.bmp,MFWOA_K2,2,112;113,2.381791,0.937703,-0.937703,16.300879,0.359203,salt-pepper,3.00
2025-10-26 18:22:23,lena.gray.bmp,MFWOA_K3,3,36;104;111,2.381791,1.079123,-1.079123,16.720170,0.348069,salt-pepper,3.00
2025-10-26 18:22:23,lena.gray.bmp,MFWOA_K4,4,37;71;115;116,2.381791,1.233756,-1.233756,17.882132,0.391536,salt-pepper,3.00
2025-10-26 18:22:23,lena.gray.bmp,MFWOA_K5,5,38;70;96;117;134,2.381791,1.324126,-1.324126,20.224690,0.447958,salt-pepper,3.00
2025-10-26 18:22:23,lena.gray.bmp,MFWOA_K6,6,38;63;96;113;126;168,2.381791,1.422698,-1.422698,21.102076,0.454314,salt-pepper,3.00
2025-10-26 18:22:23,lena.gray.bmp,MFWOA_K7,7,37;38;87;101;110;143;157,2.381791,1.510496,-1.510496,20.696376,0.440114,salt-pepper,3.00
2025-10-26 18:22:23,lena.gray.bmp,Otsu_K2,2,97;152,0.009110,0.832010,-0.832010,19.403891,0.402454,salt-pepper,3.00
2025-10-26 18:22:23,lena.gray.bmp,Otsu_K3,3,59;97;152,0.015712,0.977663,-0.977663,20.537197,0.442370,salt-pepper,3.00
2025-10-26 18:22:23,lena.gray.bmp,Otsu_K4,4,59;97;152;215,0.023744,0.992953,-0.992953,20.333257,0.417269,salt-pepper,3.00
2025-10-26 18:22:23,lena.gray.bmp,Otsu_K5,5,59;97;122;152;215,0.035070,1.121932,-1.121932,20.804202,0.437359,salt-pepper,3.00
2025-10-26 18:22:23,lena.gray.bmp,Otsu_K6,6,21;59;97;122;152;215,0.045026,1.179314,-1.179314,20.671216,0.420219,salt-pepper,3.00
2025-10-26 18:22:23,lena.gray.bmp,Otsu_K7,7,21;59;79;97;122;152;215,0.057022,1.259324,-1.259324,20.843138,0.437235,salt-pepper,3.00
2025-10-26 18:22:23,lena.gray.bmp,FCM_K2,2,77;142,0.001336,0.794217,-0.794217,19.843445,0.416080,salt-pepper,3.00
2025-10-26 18:22:24,lena.gray.bmp,FCM_K3,3,63;104;152,0.003549,0.976265,-0.976265,20.619729,0.442312,salt-pepper,3.00
2025-10-26 18:22:24,lena.gray.bmp,FCM_K4,4,60;99;144;211,0.002541,1.014941,-1.014941,20.477443,0.419311,salt-pepper,3.00
2025-10-26 18:22:24,lena.gray.bmp,FCM_K5,5,54;87;117;153;215,0.002807,1.144251,-1.144251,20.728696,0.435755,salt-pepper,3.00
2025-10-26 18:22:24,lena.gray.bmp,FCM_K6,6,21;57;91;120;156;216,0.003751,1.165635,-1.165635,20.663831,0.422226,salt-pepper,3.00
2025-10-26 18:22:24,lena.gray.bmp,FCM_K7,7,20;54;82;105;129;161;217,0.005929,1.232548,-1.232548,20.865065,0.439442,salt-pepper,3.00
2025-10-26 18:22:24,lena.gray.bmp,PSO_K2,2,112;113,1.667839,0.937703,-0.937703,16.300879,0.359203,salt-pepper,3.00
2025-10-26 18:22:24,lena.gray.bmp,PSO_K3,3,35;112;113,2.031813,1.089396,-1.089396,16.581995,0.327069,salt-pepper,3.00
2025-10-26 18:22:24,lena.gray.bmp,PSO_K4,4,35;108;109;176,2.122572,1.216797,-1.216797,18.716851,0.336538,salt-pepper,3.00
2025-10-26 18:22:24,lena.gray.bmp,PSO_K5,5,38;67;112;113;177,2.350164,1.355430,-1.355430,20.148154,0.398914,salt-pepper,3.00
2025-10-26 18:22:24,lena.gray.bmp,PSO_K6,6,37;66;111;112;171;172,2.615054,1.412505,-1.412505,20.213817,0.402037,salt-pepper,3.00
2025-10-26 18:22:24,lena.gray.bmp,PSO_K7,7,37;66;109;110;133;172;173,2.901801,1.476149,-1.476149,20.903602,0.426699,salt-pepper,3.00
2025-10-26 18:22:24,lena.gray.bmp,GA_K2,2,112;113,2.128125,0.937703,-0.937703,16.300879,0.359203,salt-pepper,3.00
