datetime,image,algo,K,thresholds,time_sec,FE,fitness,PSNR,SSIM,noise_type,noise_amt_percent
2025-10-26 12:53:54,lena.bmp,Otsu,3,60;95;144,0.016363,0.867894,-0.867894,23.356989,0.707923,none,0.00
2025-10-26 12:53:54,lena.bmp,FCM,3,63;102;147,0.002607,0.869206,-0.869206,23.722509,0.706038,none,0.00
2025-10-26 12:53:54,lena.bmp,PSO,3,35;111;112,0.655812,0.985107,-0.985107,17.202194,0.516476,none,0.00
2025-10-26 12:53:54,lena.bmp,GA,3,109;110;175,0.792943,0.991244,-0.991244,19.829491,0.581992,none,0.00
2025-10-26 12:53:54,lena.bmp,WOA,3,36;100;113,0.740959,0.969579,-0.969579,18.003956,0.536991,none,0.00
2025-10-26 12:53:54,lena.bmp,MFWOA,3,35;111;112,0.669300,0.985107,-0.985107,17.202194,0.516476,none,0.00
