datetime,image,algo,K,thresholds,time_sec,FE,fitness,PSNR,SSIM,noise_type,noise_amt_percent
2025-10-26 12:35:54,lena.bmp,MFWOA_K2,2,112;113,0.884020,0.871924,-0.871924,16.775919,0.541783,none,0.00
2025-10-26 12:35:54,lena.bmp,MFWOA_K3,3,109;110;174,0.884020,0.991097,-0.991097,19.838999,0.582916,none,0.00
2025-10-26 12:35:54,lena.bmp,MFWOA_K4,4,38;65;115;115,0.884020,1.134451,-1.134451,18.818567,0.591328,none,0.00
2025-10-26 12:35:54,lena.bmp,MFWOA_K5,5,36;61;107;117;166,0.884020,1.224193,-1.224193,24.782178,0.686065,none,0.00
2025-10-26 12:35:54,lena.bmp,MFWOA_K6,6,38;69;90;115;116;180,0.884020,1.336005,-1.336005,24.755417,0.681149,none,0.00
2025-10-26 12:35:54,lena.bmp,Otsu_K2,2,95;144,0.010480,0.757003,-0.757003,21.370294,0.638032,none,0.00
2025-10-26 12:35:54,lena.bmp,Otsu_K3,3,60;95;144,0.016946,0.867894,-0.867894,23.356989,0.707923,none,0.00
2025-10-26 12:35:54,lena.bmp,Otsu_K4,4,60;95;118;144,0.025568,1.016319,-1.016319,24.151289,0.730506,none,0.00
2025-10-26 12:35:54,lena.bmp,Otsu_K5,5,60;95;118;144;172,0.036840,1.099979,-1.099979,26.233279,0.752948,none,0.00
2025-10-26 12:35:54,lena.bmp,Otsu_K6,6,60;78;95;118;144;172,0.046160,1.189913,-1.189913,26.741737,0.782895,none,0.00
2025-10-26 12:35:54,lena.bmp,FCM_K2,2,77;137,0.001252,0.706474,-0.706474,21.524095,0.658334,none,0.00
2025-10-26 12:35:55,lena.bmp,FCM_K3,3,63;102;147,0.002440,0.869206,-0.869206,23.722509,0.706038,none,0.00
2025-10-26 12:35:55,lena.bmp,FCM_K4,4,57;91;121;157,0.002483,1.016252,-1.016252,24.877437,0.734647,none,0.00
2025-10-26 12:35:55,lena.bmp,FCM_K5,5,53;81;105;129;162,0.005010,1.135445,-1.135445,25.697428,0.767608,none,0.00
2025-10-26 12:35:55,lena.bmp,FCM_K6,6,53;79;102;124;149;176,0.003558,1.196646,-1.196646,27.079301,0.783598,none,0.00
2025-10-26 12:35:55,lena.bmp,PSO_K2,2,112;113,0.595601,0.871924,-0.871924,16.775919,0.541783,none,0.00
2025-10-26 12:35:55,lena.bmp,PSO_K3,3,109;110;175,0.724197,0.991244,-0.991244,19.829491,0.581992,none,0.00
2025-10-26 12:35:55,lena.bmp,PSO_K4,4,35;108;109;176,0.728455,1.106187,-1.106187,20.944511,0.565469,none,0.00
2025-10-26 12:35:55,lena.bmp,PSO_K5,5,35;102;103;136;169,0.783500,1.190943,-1.190943,22.697252,0.620587,none,0.00
2025-10-26 12:35:55,lena.bmp,PSO_K6,6,37;66;111;112;171;172,0.844090,1.308372,-1.308372,23.854982,0.647118,none,0.00
2025-10-26 12:35:55,lena.bmp,GA_K2,2,118;119,0.671854,0.863412,-0.863412,17.038561,0.540201,none,0.00
2025-10-26 12:35:55,lena.bmp,GA_K3,3,109;110;176,0.756740,0.991235,-0.991235,19.778064,0.580866,none,0.00
2025-10-26 12:35:55,lena.bmp,GA_K4,4,35;108;109;176,0.893811,1.106187,-1.106187,20.944511,0.565469,none,0.00
2025-10-26 12:35:55,lena.bmp,GA_K5,5,36;85;111;132;173,0.921475,1.203499,-1.203499,25.154782,0.679895,none,0.00
2025-10-26 12:35:55,lena.bmp,GA_K6,6,38;67;111;112;171;172,0.989462,1.308251,-1.308251,23.917829,0.650777,none,0.00
2025-10-26 12:35:55,lena.bmp,WOA_K2,2,112;113,0.661359,0.871924,-0.871924,16.775919,0.541783,none,0.00
2025-10-26 12:35:55,lena.bmp,WOA_K3,3,36;104;112,0.799910,0.973873,-0.973873,17.606645,0.531238,none,0.00
2025-10-26 12:35:55,lena.bmp,WOA_K4,4,37;67;114;117,0.889732,1.129192,-1.129192,19.303841,0.600727,none,0.00
2025-10-26 12:35:56,lena.bmp,WOA_K5,5,38;67;110;115;176,0.865212,1.240290,-1.240290,24.168420,0.658535,none,0.00
2025-10-26 12:35:56,lena.bmp,WOA_K6,6,38;39;107;108;135;170,0.944416,1.340361,-1.340361,23.039876,0.619711,none,0.00
