datetime,image,algo,K,thresholds,time_sec,FE,fitness,PSNR,SSIM,noise_type,noise_amt_percent
2025-10-26 12:44:40,lena.bmp,Otsu,6,60;78;95;118;144;172,0.046731,1.189913,-1.189913,26.741737,0.782895,none,0.00
2025-10-26 12:44:40,lena.bmp,FCM,6,53;79;102;124;149;176,0.002957,1.196646,-1.196646,27.079301,0.783598,none,0.00
2025-10-26 12:44:40,lena.bmp,PSO,6,37;66;111;112;171;172,0.910246,1.308372,-1.308372,23.854982,0.647118,none,0.00
2025-10-26 12:44:40,lena.bmp,GA,6,38;67;112;113;171;172,1.013851,1.308070,-1.308070,24.017634,0.650247,none,0.00
2025-10-26 12:44:40,lena.bmp,WOA,6,37;69;98;113;134;173,0.962061,1.324181,-1.324181,26.521458,0.724284,none,0.00
2025-10-26 12:44:40,lena.bmp,MFWOA,6,37;65;100;113;122;178,0.942245,1.324191,-1.324191,25.763869,0.707084,none,0.00
