datetime,image,algo,K,thresholds,time_sec,FE,fitness,PSNR,SSIM,Dice,noise_type,noise_amt_percent
2025-10-28 14:00:25,lena.bmp,Otsu,3,60;95;144,0.018631,0.867894,-0.867894,23.356989,0.707923,,none,0.00
2025-10-28 14:00:25,lena.bmp,FCM,3,63;102;147,0.002817,0.869206,-0.869206,23.722509,0.706038,,none,0.00
2025-10-28 14:00:25,lena.bmp,PSO,3,109;110;175,0.688543,0.991244,-0.991244,19.829491,0.581992,,none,0.00
2025-10-28 14:00:26,lena.bmp,GA,3,106;107;175,0.814086,0.988060,-0.988060,20.101092,0.593098,,none,0.00
2025-10-28 14:00:26,lena.bmp,WOA,3,35;111;112,0.791560,0.985107,-0.985107,17.202194,0.516476,,none,0.00
2025-10-28 14:00:26,lena.bmp,MFWOA,3,35;111;112,0.708796,0.985107,-0.985107,17.202194,0.516476,,none,0.00
