datetime,image,algo,K,thresholds,time_sec,FE,fitness,PSNR,SSIM,noise_type,noise_amt_percent
2025-10-27 12:43:30,lena.bmp,Otsu,6,60;78;95;118;144;172,0.046554,1.189913,-1.189913,26.741737,0.782895,none,0.00
2025-10-27 12:43:30,lena.bmp,FCM,6,53;79;102;124;149;176,0.003891,1.196646,-1.196646,27.079301,0.783598,none,0.00
2025-10-27 12:43:30,lena.bmp,PSO,6,37;66;111;112;171;172,3.376383,1.308372,-1.308372,23.854982,0.647118,none,0.00
2025-10-27 12:43:30,lena.bmp,GA,6,37;66;111;112;171;172,3.929870,1.308372,-1.308372,23.854982,0.647118,none,0.00
2025-10-27 12:43:30,lena.bmp,WOA,6,37;38;71;108;115;176,3.682058,1.359479,-1.359479,24.440277,0.667687,none,0.00
2025-10-27 12:43:30,lena.bmp,MFWOA,6,37;68;100;111;126;178,3.345999,1.322825,-1.322825,26.246014,0.716240,none,0.00
2025-10-27 12:48:45,lena.bmp,MFWOA_K2,2,111;112,2.827724,0.874069,-0.874069,16.698404,0.521407,gaussian,1.20
2025-10-27 12:48:45,lena.bmp,MFWOA_K3,3,109;110;175,2.827724,0.992444,-0.992444,19.688774,0.553676,gaussian,1.20
2025-10-27 12:48:46,lena.bmp,MFWOA_K4,4,37;70;114;114,2.827724,1.125588,-1.125588,18.798118,0.542156,gaussian,1.20
2025-10-27 12:48:46,lena.bmp,MFWOA_K5,5,37;69;94;117;126,2.827724,1.212742,-1.212742,21.511548,0.621910,gaussian,1.20
2025-10-27 12:48:46,lena.bmp,MFWOA_K6,6,37;68;93;114;121;172,2.827724,1.317175,-1.317175,25.517528,0.658047,gaussian,1.20
2025-10-27 12:48:46,lena.bmp,Otsu_K2,2,94;143,0.009023,0.761752,-0.761752,21.300344,0.618170,gaussian,1.20
2025-10-27 12:48:46,lena.bmp,Otsu_K3,3,59;94;143,0.016206,0.873922,-0.873922,23.309449,0.683062,gaussian,1.20
2025-10-27 12:48:46,lena.bmp,Otsu_K4,4,59;94;117;143,0.024345,1.021987,-1.021987,24.003196,0.691020,gaussian,1.20
2025-10-27 12:48:46,lena.bmp,Otsu_K5,5,59;94;117;143;171,0.032686,1.106544,-1.106544,26.046622,0.712115,gaussian,1.20
2025-10-27 12:48:46,lena.bmp,Otsu_K6,6,59;77;94;117;143;171,0.042912,1.197601,-1.197601,26.539757,0.742104,gaussian,1.20
2025-10-27 12:48:46,lena.bmp,FCM_K2,2,77;136,0.001095,0.718888,-0.718888,21.344460,0.637926,gaussian,1.20
2025-10-27 12:48:46,lena.bmp,FCM_K3,3,63;102;147,0.002494,0.876552,-0.876552,23.584112,0.674149,gaussian,1.20
2025-10-27 12:48:46,lena.bmp,FCM_K4,4,57;90;120;156,0.002475,1.018858,-1.018858,24.646028,0.698700,gaussian,1.20
2025-10-27 12:48:46,lena.bmp,FCM_K5,5,53;81;105;129;162,0.004669,1.137227,-1.137227,25.545683,0.727961,gaussian,1.20
2025-10-27 12:48:46,lena.bmp,FCM_K6,6,52;78;101;122;147;175,0.002942,1.210900,-1.210900,26.873471,0.745216,gaussian,1.20
2025-10-27 12:48:46,lena.bmp,PSO_K2,2,111;112,2.031300,0.874069,-0.874069,16.698404,0.521407,gaussian,1.20
2025-10-27 12:48:47,lena.bmp,PSO_K3,3,109;110;175,2.356941,0.992444,-0.992444,19.688774,0.553676,gaussian,1.20
2025-10-27 12:48:47,lena.bmp,PSO_K4,4,34;107;108;175,2.601218,1.102438,-1.102438,20.897160,0.525347,gaussian,1.20
2025-10-27 12:48:47,lena.bmp,PSO_K5,5,37;66;111;112;175,2.915664,1.240369,-1.240369,23.542489,0.594485,gaussian,1.20
2025-10-27 12:48:47,lena.bmp,PSO_K6,6,38;65;110;111;170;171,3.205625,1.299905,-1.299905,23.810365,0.607204,gaussian,1.20
2025-10-27 12:48:47,lena.bmp,GA_K2,2,111;112,2.555833,0.874069,-0.874069,16.698404,0.521407,gaussian,1.20
2025-10-27 12:48:47,lena.bmp,GA_K3,3,109;110;175,2.867656,0.992444,-0.992444,19.688774,0.553676,gaussian,1.20
2025-10-27 12:48:47,lena.bmp,GA_K4,4,34;107;108;175,3.074421,1.102438,-1.102438,20.897160,0.525347,gaussian,1.20
2025-10-27 12:48:47,lena.bmp,GA_K5,5,37;66;111;112;175,3.458722,1.240369,-1.240369,23.542489,0.594485,gaussian,1.20
2025-10-27 12:48:47,lena.bmp,GA_K6,6,38;65;110;111;170;171,3.772182,1.299905,-1.299905,23.810365,0.607204,gaussian,1.20
2025-10-27 12:48:47,lena.bmp,WOA_K2,2,111;112,2.935211,0.874069,-0.874069,16.698404,0.521407,gaussian,1.20
2025-10-27 12:48:47,lena.bmp,WOA_K3,3,35;110;111,3.176351,0.982072,-0.982072,17.257862,0.482772,gaussian,1.20
2025-10-27 12:48:47,lena.bmp,WOA_K4,4,38;67;114;115,3.525531,1.126584,-1.126584,18.905491,0.550997,gaussian,1.20
2025-10-27 12:48:47,lena.bmp,WOA_K5,5,37;68;91;118;119,3.712204,1.218913,-1.218913,20.033946,0.586964,gaussian,1.20
2025-10-27 12:48:47,lena.bmp,WOA_K6,6,37;66;103;110;135;170,3.557633,1.312903,-1.312903,25.827057,0.664024,gaussian,1.20
